	barcode01	barcode02	barcode03	barcode04	barcode05	barcode06	barcode07	barcode08	barcode09	barcode10
Enterococcus ratti	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0
Enterococcus villorum	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Limosilactobacillus gastricus	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
Enterobacter wuhouensis	2.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0
Klebsiella oxytoca	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0
Phytobacter massiliensis	1.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	1.0
Franconibacter daqui	0.0	1.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0
Mixta calida	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Mixta theicola	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Pectobacterium aroidearum	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Staphylococcus piscifermentans	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Atlantibacter subterranea	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Enterobacter bugandensis	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kosakonia oryzendophytica	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Sodalis ligni	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Pantoea brenneri	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Staphylococcus edaphicus	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0
[Erwinia] mediterraneensis	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Pectobacterium carotovorum	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0
Pseudomonas ceruminis	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Staphylococcus ratti	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Staphylococcus epidermidis	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Klebsiella grimontii	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Sodalis praecaptivus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Erwinia mallotivora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Pseudomonas oleovorans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
Enterobacter kobei	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
